"","ecEp.stem.cell","ecEp.nb.pd.","ecEp.nem.id.","ecEp.basal.disk","ecEp.head","ecEp.battery.cell1.mp.","ecEp.battery.cell2.mp.","enEp.stem.cell","enEp.nb.pd.","enEp.nem.pd.","enEp.tent.nem.pd.","enEp.foot","enEp.head","enEp.tentacle","i.stem.cell.progenitor","i.nematocyte","i.nb1","i.nb2","i.nb3","i.nb4","i.nb5","i.granular.mucous.gland.cell","i.spumous.mucous.gland.cell","i.zymogen.gland.cell","i.male.germline","i.female.germline1","i.female.germline2.nurse","i.neuron.gland.cell.progenitor","i.neuron.progenitor","i.neuron.ec1","i.neuron.ec2","i.neuron.ec3","i.neuron.ec4","i.neuron.ec5","i.neuron.en1","i.neuron.en2","i.neuron.en3","db"
"t26465aep-OPN3-HUMAN",0,0.00235194784988647,0,0,0,0,0.00488927631755684,0.000280104211045256,0,0.00186094142266953,0,0.0063686323233154,0,0.000504087850010878,0,0.0147165499353814,0,0,0,0,0.123669999220082,0,0,0,0,0,0,0,0.00279163358580868,0,0,0,0,0,0,0,0,0
"t26466aep-OPN3-HUMAN",0,0.000592238355091134,0,0,0,0,0,0.000282313069919493,0,0.00352131274539148,0.00358662304376613,0.00492487082701625,0,0,0,0,0,0,0,0,0.0390567131065685,0,0,0.000584717154186288,0.0259592086730017,0,0,0,0,0,0,0,0,0.0249003984063745,0,0,0,0
"t29512aep-OPSP-CHICK",0.00244817902501938,0.00100912345533194,0,0.00972205118857997,0.00355033290363433,0,0.0014895075882804,0.00043782181199633,0.00666381455403754,0,0,0.0162113084999106,0.00258971534225765,0,0.00112812878041632,0.0134609691592736,0,0.00335523631600421,0,0,0,0.0136314067611778,0.00276586749429662,0,0.0122979009222317,0.00428997446545396,0,0.0148306922885202,0.0928209816060035,0.263912482374527,0,0.469651594648785,0.108791609813393,0.138400205406965,0.0458039043248047,0,0.087631666579035,0
"t33568aep",0.000701628959703573,0.00145341760248593,0.00167746591263456,0.00402865277366394,0,0,0.00691201771416966,0,0.002070407091724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016781232138476,0,0,0.305515770593981,0,0.294327075034175,0,0.0157035175879397,0,0,0,0
"t14044aep-OPSD2-MIZYE",0.00122089004313756,0.001727422064813,0,0.0109978092427337,0,0,0.0012293531701284,0.000644747324862309,0.00473267934015092,0,0,0,0.00176129208387273,0.00977352781350545,0,0,0,0,0,0,0,0,0,0.000353729181047969,0,0,0,0,0.00327471270126794,0.325924810033949,0,0.21900400016429,0.0229915184288516,0,0,0.0497760079641613,0,0
"t29959aep-OPN4B-XENLA",0.210134232371908,0.147924119641891,0.169429255305433,0.107219743414975,0.0187728078808425,0.0223513634331694,0.00283155352467417,0.0142622128092739,0.00525649105692661,0.016308585459475,0,0.0739051332648859,0.0021269015829465,0.00871639828620798,0.00174859679928395,0.0150038714640529,0,0.000690862705130954,0.00114207296293014,0,0.027024257246105,0,0.0158698002054099,0.00370863935636213,0.010995237536287,0.00649538340624401,0.00696822702424556,0.00280749511355475,0.0165972922608075,0.0339023103237071,0.0543693057340638,0.220394328041087,0,0,0,0.00951480217774792,0,0.0117017679836807
"t17353aep-OPN4B-XENLA",0.00524635648074396,0.00295916938891293,0.0196249993273522,0.000552144895188543,0.0233667010169173,0.00330865895768941,0.0125754159566894,0.00387033776155631,0,0.00846985325132257,0.0064036782727999,0.00427755607255115,0.00302400302400302,0.019308253050611,0,0.631750659163184,0,0,0.00873145112351948,0,0.00433138940576802,0,0,0.00185307488127349,0,0.000677892843309001,0.0011787459869112,0.00118074708991439,0.0155236700719342,0,0.0760651632777644,1.2511866277792,0.121469784391133,0,0,0.0923632706571827,0.0521477031544145,0
"t2106aep-OPN3-HUMAN",0.000370520528967816,0.00221122677957208,0.000465536149370812,0,0.00811574633210724,0.00280678118333895,0,0.000701013615215591,0.00300477248013019,0.00231431070222898,0,0.00166831928690889,0.0015470755685914,0,0.00775201250572426,0.0486074204351069,0.0161887306188855,0,0,0,0,0.00968737821109856,0.00641423842272144,0.00373651026382004,0.0036986503895207,0,0.000467959645406386,0.00178369718698964,0.00552121194109426,0.0419741895152345,0.036136735658286,0.131337227118535,0.0176001802258455,0.0094984802431611,0.117306635539491,0.0527118873440937,0,0
"t21092aep-OPSD-LOLFO",0.0195829014656739,0.0173452320001643,0.0129463186270848,0.0351483863191049,0,0,0.00195599437844617,0.000274013703341226,0,0,0,0,0,0,0.00127625414304001,0.0177880236794171,0.00113451437792761,0,0.00114207296293014,0,0,0.000501605136436597,0,0,0,0,0,0,0.00492478862807208,0.191522380789777,0.0203640273529615,0.0391092257035346,0,0.449892664225001,0.0596555488608773,0,0,0
"t27688aep-OPSP-COLLI",0.000359322972279383,0.00209324307095984,0.0107404734804772,0.0069125897419669,0.00364992545161454,0,0.0632411463083944,0.0876472398265219,0.098378926657443,0.143647897744584,0.0525222726645148,0.0303187224753071,0.0774626652931994,0.00970098626133785,0.000274796291448177,0.433738332739806,0,0.0197447400012637,0.00351844782828742,0,0.0224444723753434,0,0.00522351281878457,0.00266569783107751,0.00838116742311567,0.000425056647299386,0,0,0.00362448061192831,0.00806495840094457,0,0,0.0239930708011526,0,0,0,0,0.0982541472315281
"t36136aep-OPSD-LOLFO",0.000392137855592568,0,0,0,0,0,0.00769528691504251,0.00227564466843431,0,0.00182936087619069,0.016015229348906,0.000958773414325398,0.0109490864534884,0.0410245777361757,0,0,0,0,0,0,0,0,0,0.000927142800852044,0,0,0,0,0.00290474757915752,0.0896898765027228,0,0.119825360223676,0.04464026641311,0,0.0317050321302494,0,0,0.00358522657197844
"t36280aep-OPS2-DROPS",8.15629417143062e-05,0.000301941802831097,0,0,0.00120617731650877,0,0,0.000173683841219622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000471756504201275,0,0,0.000466669398238211,0,0,0,0.0327415837758904,0.0736291180639757,0,0,0,0,0,0
"t4128aep-OPSD2-MIZYE",0.00265356892256666,0.000363534864702139,0,0.0204143673031417,0,0.0169548999660902,0.0122198374276385,0.000401043700715136,0,0.00181299533298741,0.0261346265849724,0.00618902056321225,0,0.00220034879929166,0.00135212900825123,0.035561175012265,0,0,0,0.0100283400890918,0,0,0.00262325292912894,0,0,0.00111891442027813,0,0,0,0.0277432725464987,0.0305562265066942,0.0580208265654269,0.0522359602797758,1.44176058583991,0,0,0,0
"t31375aep-OPSC1-HEMSA",0.000823777510357858,0.00338116160264101,0.000531392320148144,0,0.000349540598791009,0.00764759865402264,0,0.0014382106422186,0.00816806604245304,0,0,0,0,0,0.0111275694149388,0,0.00405653208803084,0.0517681827670467,0.155724815355247,0,0,0.00274640769873006,0,0.00171359077978491,0,0,0,0.00693776344413695,0.00127795707462484,0,0.0429306155391656,0,0,0,0,0,0,0
"t20210aep",0,0,0,0,0,0,0,0.00022736103636617,0,0,0,0.00316924669804765,0.000729666031857219,0.0046330697385303,0,0,0,0,0,0,0,0.0106080702264321,0,0.0104726289329051,0.0139437439649733,0.000739590704587356,0.00179718998562607,0,0,0.244327918756922,0,0,0,0,0,0.00569519541924042,0,0
"t16278aep-OPSC2-HEMSA",0.00090540370431164,0,0.000829393919563885,0,0.000469690187655321,0,0,0.0019622076678957,0.00526978673173097,0,0,0.00857368477980059,0,0.00170432137501922,0.00136269696638208,0,0,0,0,0,0,0.00788214886593668,0.00777064211066567,0.00440485150381429,0,0,0,0,0,0.0368318698803701,0,0.035528386225174,0.0629465269253769,0.0125881168177241,0.260885288962688,0,0.0409187068051901,0.012552997268883
"t32850aep",0.000187259745746208,0.00360110298864776,0,0,0.00196564060227228,0,0.00217349075286111,0.000217839722681319,0.005024072845037,0,0,0,0,0,0.0111060807983839,0,0.00235495440219197,0.00864608185506892,0.112894451377365,0,0,0,0,0.00162775284167633,0,0,0.000716975704704665,0.0206337867385139,0,0.0327907556301727,0.0936829105777102,0.0413349536635169,0,0,0,0,0.0234350100301843,0
